CO_UNIDADE;CO_END_COMPL;NO_IDENTIFICACAO;TP_LOGR;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_MUNICIPIO;NO_DDD_TEL;NU_TELEFONE;NO_EMAIL;CO_USUARIO
3503910000000;1;ESPACO ROSA ARANTES;8;MARECHAL CASTELO BRANCO;237;;CENTRO;7400445;350390;11;46544433;daniellemrosa@ig.com.br;SMS12
1703910000000;1;AV BRASIL;655;AV BRASIL;S/N;;CENTRO;77680000;170390;63;33791110;caseara@saude.to.gov.br;FCESS
2800310000000;1;SERVICO PRONTO ATENDIMENTO - SPA;655;AV MINAS GERAIS;1;;18 DO FORTE;49072470;280030;79;88395375;;ROSANA
3139010000000;1;DOUTOR RENATO AZEREDO;655;DOUTOR RENATO AZEREDO;1227;;JARDIM CHAMONIX;37750000;313900;35;32952764;;FATURA
3165310000000;1;ELZA MARA MEIRELLES JUNQUEIRA CARVALHO;561;RUA VISCONDE DO RIO BRANCO;38;;CENTRO;37370000;316530;35;33231466;elzajunqueira18@yahoo.com.br;ROBSON
3509500000000;1;CAPS III AD REVIVER;81;FERNAO LOPES;1290;;PARQUE TAQUARAL;13087051;350950;19;32415243;reviver.capsad@candido.org.br;CANDIDO
2105310000000;1;CADASTRAMENTO INDEVIDO;1;XXX;S/N;;XXX;65900001;210530;;;;SEMUS
1301400000000;1;COMUNIDADE VILA UNIAO;713;VILA UNIAO;S/N;RIO ALTO JURUA;COMUNIDADE RURAL;69880000;130140;97;934811007;semsaeiru@gmail.com;CNES
3551710000000;1;ENDERECO COMPLEMENTAR 1;561;R GASTAO VIDIGAL;853;;ALTO DO GINASIO;14169100;355170;;;;AUDITORIA
4125500000000;1;ENDERECO COMPLEMENTAR 1;561;VISCONDE DO RIO BRANCO;2062;1º ANDAR;CENTRO;83005420;412550;41;32833636;;JOYCE
3128010000000;1;VIGILANCIA EPIDEMIOLOGICA;100;EMILIO LOTT;55;;CENTRO;39740000;312800;33;34212103;;SAUDE
5002700000000;1;ENDERECO COMPLEMENTAR 1;561;MARECHAL CANDIDO MARIANO RONDON;1864;;JARDIM VILA CIDADE;79002200;500270;67;33172073;;JANAINA
5002700000000;2;ENDERECO COMPLEMENTAR 2;655;MATO GROSSO;1369;;VILA ROSA;79010030;500270;67;33172072;;JANAINA
5002700000000;3;ENDERECO COMPLEMENTAR 3;655;EDUARDO ELIAS ZAHRAN;1687;;JARDIM TV MORENA;79004000;500270;67;33172085;;JANAINA
5002700000000;4;ENDERECO COMPLEMENTAR 4;561;GAL NEPOMUCENO COSTA;636;;VILA SOARES PRIMEIRA;79100010;500270;67;33147088;;JANAINA
5002700000000;5;ENDERECO COMPLEMENTAR 5;655;MATO GROSSO;2614;;VILA SANTA ODETE;79020201;500270;67;33172080;;JANAINA
3525110000000;1;ENDERECO COMPLEMENTAR 1;65;CEL JOAO GUIMARAES;46;;CENTRO;14680000;352510;16;36639265;bruno.nicola.santos@usp.br;SESAU
3163910000000;1;ENDERECO COMPLEMENTAR 1;561;CEL JOAO FERREIRA BARBOSA;46;;CENTRO;37855000;316390;35;35541162;saude@saopedrodauniao.mg.gov.com.br;SCNES
4313310000000;1;ENDERECO COMPLEMENTAR 1;561;CONEGO PERES;795;SALA 209;CENTRO;95320000;431330;;;;SAUDE
1502160000000;1;ENDERECO COMPLEMENTAR 1;81;BELEM;S/N;HOSP 05 DE OUTUBRO;MONTE CASTELO;68537000;150215;94;33581735;MASTERLAB.HCO@PROSAUDE.ORG.BR;GESTOR
3114510000000;1;ENDERECO COMPLEMENTAR 1;561;SAO GERALDO;268;;FATIMA;35534000;311450;;;;SILESE
3104410000000;1;ENDERECO COMPLEMENTAR 1;713;TIJUCAL;SN;;ZONA RURAL;36710000;310440;32;34451277;saudeubs@argirita.mg.gov.br;LUCIANA
3304560000000;1;ENDERECO COMPLEMENTAR 1;81;MEXICO;128;11 ANDAR;CENTRO;20031142;330455;21;23328426;;CNESRJ
2412510000000;1;ENDERECO COMPLEMENTAR 1;561;MANOEL VIEIRA;SN;;MANOEL VIEIRA;59920000;241250;;;;GFREITAS
3512010000000;1;ENDERECO COMPLEMENTAR 1;81;TIRADENTES;109;CLINICA;CENTRO;14770000;351200;17;33412177;;SMSAUDE
3512010000000;2;ENDERECO COMPLEMENTAR 2;65;DR LAMOUNIER DE ANDRADE;126;SALA DE CONSULTORIO;CENTRO;14770000;351200;17;33419290;;SMSAUDE
2913600000000;1;SACRO;81;PRACA MIGUEL ALVES;367;PRACA MISAEL TAVARES;CIDADE NOVA;45652120;291360;73;32313529;sacroilheus@hotmail.com;THAIANE
1501300000000;1;COMUNIDADE MADRE DE DEUS;720;RIO ARROZAL;SN;;LOCAL ILHAS;68445000;150130;;;;SEMUSB
4312680000000;1;DOS PINHAIS;561;DOS PINHAIS;675;SALA;CENTRO;99175000;431267;54;33111444;;SAUDE
5002700000000;1;MULTILAB - POSTO 5;8;EDUARDO ELISA ZAHRAN;1525;;JARDIM PAULISTA;79051000;500270;67;33420075;gerente@laboratoriomultilab.com.br;JANAINA
5002700000000;2;MULTILAB - POSTO 4;81;MICHEL SCAFF;53;;CHACARA CACHOEIRA;79040860;500270;67;30438300;gerente@laboratoriomultilab.com.br;JANAINA
1302600000000;2;CLINICA VISION CIRURGIA - BUSINESS TOWER - G2;8;DJALMA BATISTA;1661;BUSINESS TOWER - G2;CHAPADA;69050970;130260;92;36593131;;3499359
1302600000000;3;VISION CLINIC - MEDICAL TOWER - SL 1301 A 1309 13º ANDAR;8;DJALMA BATISTA;1661;SALAS 1302 A 1309;CHAPADA;69050970;130260;92;36593131;;3499359
1302600000000;4;VISION CLINICA DE OLHOS - MILLENNIUM SHOPPING - SL 220 A 224;8;DJLAMA BATISTA SALA 220 A 224 ANDAR G2 MEDICAL;1661;ANDAR G2 BUSINESS;CHAPADA;69050970;130260;92;36593817;;3499359
3510410000000;7;ATENCAO BASICA;81;SINHARINHA FROTA;578;;CENTRO;13360000;351040;19;34913027;saudebucal@capivari.sp.gov.br;SAUDE
3305560000000;1;ANEXO- FISIOTERAPIA;517;RITA BATISTA;SN;KM 40;DOM BOSCO;23898250;330555;;;;330555
4202810000000;1;AVENIDA FELIPE S SCHMIDT;656;AVENIDA FELIPE SCHMIDT;1525;PREDIO DE ESQUINA;CENTRO;88750000;420280;48;36588988;;SAUDE
3127710000000;1;RAYANNE MARTINS ROGAI MARIANO;81;VALE FORMOSO;600;;JARDIM PEROLA;35051520;312770;33;30820100;rayanne.mr@gmail.com;DANIELA
2202720000000;1;LOCALIDADE COCALINHO;472;LOCALIDADE COCALNHO;SN;;ZONA RURAL;64278000;220271;;;;SMSCOCAL
3302410000000;1;ENDERECO COMPLEMENTAR 1;561;DR. JOAO CUPERTINO;295;;CENTRO;27913060;330240;22;30514252;;SCNES
4121200000000;1;SALA MUNICIPAL DE RADIOLOGIA;561;RUA PADRE FRANCISCO;SN;PREDIO;CENTRO;83840000;412120;41;36231333;;CNES
3106210000000;1;UNIDADE SAVASSI;655;GETULIO VARGAS;1686;;FUNCIONARIOS;30112021;310620;;;;SMSAS
5101610000000;1;POSTO DE SAUDE PORTO BRANDAO;92;PORTO BRANDAO;SN;;ZONA RURAL;78190000;510160;;;;SMSBARAO
4113510000000;1;AVENIDA CURITIBA;655;CURITIBA;224;TERREO;CENTRO;87900000;411350;44;34253295;;POLYANA
4128100000000;1;CENTRO REGIONAL MAE PARANAENSE;561;MINISTRO OLIVEIRA SALAZAR;4708;;CENTRO;87501130;412810;44;20201270;;SAUDE
2208200000000;1;PAU FERRO;104;POVOADO PAU FERRO;SN;;ZONA RURAL;64660000;220820;;;;SCNES
4118500000000;1;GRAM EXAMES;655;AVENIDA BRASIL;173;;CENTRO;85501071;411850;46;32241795;coordenacaopb@laboratorioplatano.com.br;FCES2
3541400000000;3;ENDERECO COMPLEMENTAR 3;81;PRESIDENTE CASTELO BRANCO;93;FUNDO;PQ. CASTELO BRANCO;19033810;354140;18;39052156;centrozoonoses@presidenteprudente.sp.gov.br;PAULO
3531810000000;1;ENDERECO COMPLEMENTAR 1;561;JULIETA MONTERA;170;;CENTRO;13190000;353180;19;38791884;pfcalvo@hotmail.com;MARIA
4318710000000;1;ENDERECO COMPLEMENTAR 1;81;SAO JOAQUIM;988;2º ANDAR;CENTRO;93010190;431870;51;35928207;fatsiasus@saoleopoldo.rs.gov.br;MARINES
2904610000000;1;ENDERECO COMPLEMENTAR 1;81;DR MARIO MEIRA;13;;CENTRO;46100000;290460;77;34411260;;SAUDE
2913610000000;3;VIGILANCIA EPIDEMIOLOGICA - ENDERECO COMPLEMENTAR 3;8;ACM;209;;MALHADO;45651620;291360;73;32343748;;THAIANE
4118810000000;1;ENDERECO COMPLEMENTAR 1;656;CURITIBA;734;;CENTRO;87250000;411880;44;35312534;;SAUDE
2800300000000;1;ENDERECO COMPLEMENTAR 1;561;RUA LAGARTO;1784;;SAO JOSE;49035190;280030;79;21071000;;ROSANA
5108310000000;1;ENDERECO COMPLEMENTAR 1;81;SAO JOAO DA URTIGA;SN;ESQUINA COMNEUCHATEL;SAO LUIZ;78543000;510830;66;35401380;saude.uniao@yahoo.com.br;JOSMAR
1502160000000;1;ENDERECO COMPLEMENTAR 1;81;AMETISTA;421;;CENTRO;68537000;150215;94;99748812;;GESTOR
3110910000000;1;ENDERECO COMPLEMENTAR 1;561;DR CESARINO;247;;CENTRO;37400000;311090;35;32611648;;SAUDE
3140700000000;1;ENDERECO COMPLEMENTAR 1;81;ALTO DA BOA VISTA;S/N;;SERRA AZUL;35670000;314070;;;;MARALUCIA
3140700000000;1;ENDERECO COMPLEMENTAR 1;81;MARIA CRISTINA FARIA;153;;CENTRO;35670000;314070;;;;MARALUCIA
3108100000000;1;ENDERECO COMPLEMENTAR 1;81;MANOEL DE FREITAS MARQUES;70;;CENTRO;35480000;310810;;;;NEUSA
3108100000000;3;ENDERECO COMPLEMENTAR 3;81;MANOEL DE FREITAS MARQUES;70;;CENTRO;35480000;310810;;;;NEUSA
3530710000000;1;ENDERECO COMPLEMENTAR 1;561;IZALINO LEALDINI;S/N;;CENTRO;13840040;353070;;;;GESTOR
2928060000000;1;ENDERECO COMPLEMENTAR 1;561;DO TRIANGULO;471;;CENTRO;45865000;292805;73;36281175;slsaude@hotmail.com/inforslsaude@gmail.com;AFERREIRA
3103510000000;1;ENDERECO COMPLEMENTAR 1;561;RODOLFO PAIXAO;168;;CENTRO;38440122;310350;;;;310350
3510500000000;1;ENDERECO COMPLEMENTAR 1;81;DENILZA SEBASTIANA DOS SANTOS;75;;TINGA;11674470;351050;;;;JOSENILDO
3205010000000;1;ENDERECO COMPLEMENTAR 1;90;ES010;SN;KM 2,5;JARDIM LIMOEIRO;29164043;320500;;;;CELEZE
3126310000000;2;ENDERECO COMPLEMENTAR 2;81;LIBERDADE;106;;CENTRO;37905000;312630;35;35371303;;SCNES
2406910000000;1;ENDERECO COMPLEMENTAR 1;563;EGIDIO DIAS;SN;;CENTRO;59805000;240690;84;33960235;SMSLUCRECIA@RN.GOV.BR;SCNES
4321500000000;1;ENDERECO COMPLEMENTAR 1;81;22 DE OUTUBRO;479;;CENTRO;97418000;432149;55;32767060;;SAUDE
3518310000000;1;ENDERECO COMPLEMENTAR 1;561;FRANCISCO FRANCA LOPES;34;;CENTRO;8900000;351830;11;46931608;familiamantilla@uol.com.br;SAUDE
4109600000000;1;ENDERECO COMPLEMENTAR 1;81;ANTONIO ROCHA;10;CASA;CENTRO;83280000;410960;41;34728692;;MESTRE
2607900000000;1;ENDERECO COMPLEMENTAR 1;561;LUIZ RIQUEIRA;774;CASA;PRAZERES;54160594;260790;81;34615300;;JANAINA
3301850000000;1;ENDERECO COMPLEMENTAR 1;561;PASTOR FRANCISCO ANTONIO DA ROSA;149;;CENTRO;25940000;330185;21;26323300;sms@guapimirim.gov.br;330185
2803510000000;1;ENDERECO COMPLEMENTAR 1;655;BRASILIA;S/N;;SANTA TEREZINHA;49400000;280350;79;36321500;;SAUDE
3152810000000;1;ENDERECO COMPLEMENTAR 1;561;RUA SANTA CATARINA;450;;EDNA;38140000;315280;34;34314424;smsprata@gmail.com;KATIUSSIA
3541400000000;1;VIGILANCIA EPIDEMIOLOGICA;8;AV MANOEL GOULART;93;;VILA NOVA;19010010;354140;18;39053265;vigilancia.epidemiologica@presidenteprudente.sp.gov.br;PAULO
3543900000000;1;ENDERECO COMPLEMENTAR 1;81;RUA 7;839;;CENTRO;13500143;354390;19;35234058;;FMSRC
4201710000000;1;ENDERECO COMPLEMENTAR 1;561;DOM BOSCO;140;FUNDOS;CENTRO;89138000;420170;47;33830042;;SAUDE
3508110000000;1;ENDERECO COMPLEMENTAR 1;81;FLORIANO PEIXOTO;1267;;CENTRO;15290000;350810;18;36913782;visaburitama@yahoo.com.br;350810
2903210000000;1;ENDERECO COMPLEMENTAR 1;561;BARAO DE COTEGIPE;1220;ESCRITORIO;VILA REGINA;47800020;290320;77;36125462;csnovavida@ig.com.br;BARREIRAS
1200400000000;1;ENDERECO COMPLEMENTAR 1;561;RUA ALAMEDA MAGNOLIA;740;;CHACARA IPE;69917524;120040;68;32240335;oficina.ortepedica@ac.gov.br;SCNES
3515190000000;2;ENDERECO COMPLEMENTAR 2;561;AVENIDA WASHINGTON LUIZ;S/N;;JARDIM DAS ROSAS;13990000;351518;19;36516443;visa.saude@pinhal.sp.gov.br;UAC
3500310000000;2;ENDERECO COMPLEMENTAR 2;561;OLINDA SILVEIRA CRUZ BRAGA;S/Nº;;PARQUE INTERLAGOS;13860000;350030;19;36527455;;SCNES
3548710000000;1;ENDERECO COMPLEMENTAR 1;561;DOM JAIME DE BARROS CAMARA;1000;;PLANALTO;9895400;354870;;43665391;POLICLINICA.SAUDE@METODISTA.BR;RENAN
4314110000000;1;ENDERECO COMPLEMENTAR 1;561;CEL CHICUTA;175;;CENTRO;99010000;431410;;;;LEDAS
3536500000000;1;ENDERECO COMPLEMENTAR 1;81;EXP PAULO EMIDIO PEREIRA;93;;JD CALEGARIS;13140000;353650;;;;GESTOR
3118800000000;1;ENDERECO COMPLEMENTAR 1;561;FRANCISCO ANTUNES FERREIRA;235;;SAGRADA FAMILIA;39340000;311880;;;;DOLORES
4208010000000;1;ENDERECO COMPLEMENTAR 1;661;AV. TANCREDO NEVES;416;SALA 01;PIONEIROS;89760000;420800;49;34581367;;ITASC
3122500000000;1;PSF SERAPIAO - DOM CAVATI;561;PEDRO MARINHO JOSE PEREIRA;135;;SERAPIAO;35148000;312250;33;988273214;;SAUDE
3170110000000;1;ENDERECO COMPLEMENTAR 1;561;PADRE ZEFERINO;483;;FABRICIO;38010270;317010;34;33223282;paula.silvano@terra.com.br;VALDERI
2927400000000;1;ENDERECO COMPLEMENTAR 1;81;BARAO DE LOTERO (CENTRO MEDICO CENTENARIO);654;SALA 305;GRACA;40150270;292740;71;32458257;;CNESSUS
2927410000000;1;ENDERECO COMPLEMENTAR 1;81;THOMAZ GONZAGA;161;CASA;PERNANBUES;41100000;292740;71;34313500;contato@labora.com.br;NAOSUS
2927410000000;1;ENDERECO COMPLEMENTAR 1;81;MARQUES DE MARICA, COMPLEXO CESAR ARAUJO;S/N;;PAU MIUDO;40320350;292740;71;31721240;OIALONE@HOTMAIL.COM;REDEPROPRIA
2927410000000;2;ENDERECO COMPLEMENTAR 2;8;VASCO DA GAMA;4209;;RIO VERMELHO;40285900;292740;71;22018651;;REDEPROPRIA
2927410000000;1;ENDERECO COMPLEMENTAR 1;655;ACM ED PITUBA PQ CENTER;1034;SL 423 ALA A;ITAIGARA;41825906;292740;71;33585515;drmarcosandre@gmail.com;JOLIVER
2306550000000;1;ENDERECO COMPLEMENTAR 1;8;RIOS;S/N;;CENTRO;62590000;230655;88;36671121;ecantojr@hotmail.com;AUDITORIA
4215800000000;1;ENDERECO COMPLEMENTAR 1;561;SAO FRANCISCO DO SUL;31;;CENTENARIO;89282065;421580;47;36352838;laboratorio@labsaofrancisco.com.br;SANDRINHA
4321450000000;1;ENDERECO COMPLEMENTAR 1;561;DOM PEDRO II;1806;;CANABARRO;95890000;432145;51;37628115;;SAUDE
5004410000000;1;ENDERECO COMPLEMENTAR 1;655;ALEXANDRE BATISTA GAARCIA;848;;CENTRO;79580000;500440;67;81823290;;SEMUSA
3519710000000;1;ENDERECO COMPLEMENTAR 1;561;PINDUCA SOARES;295;FRENTE AO CIMITERIO;CENTRO;18150000;351970;15;32412343;jhcontab@terra.com.br;HOSPITAL
5103370000000;1;ALDEIA TRES LAGOAS;1;TRES LAGOAS;S/Nº;ALDEIA INDIGENA;ALDEIA INDIGENA;78254000;510336;;;;LUZENI
2927400000000;1;AMBULATORIO OBSTETRICIA;81;DIRETA DO URUGUAI;1153;SLS152/155;URUGUAI;40415065;292740;71;33160022;;CNESSUS
3162900000000;1;FISIOTERAPIA - HOSPITAL SAO JOAO;81;DOMINGOS HENRIQUES DE GUSMAO;105;;CENTRO;36680000;316290;32;32613029;;SMSSJN
3539510000000;1;AMBULANCIA TIPO A;81;DR ISRAEL VIEIRA FERREIRA;40;;JD DAS PITANGUEIRAS;14750000;353950;16;39521940;;6285007
4209310000000;1;ESCRITORIO ASSOCIACAO CRENCA;8;DOM PEDRO II;1555;;UNIVERSITARIO;88509001;420930;49;32222948;;SMSLAGES
3301710000000;1;ODONTOQUALI;561;CONDE DE PORTO DE ALEGRE;103;TERREO;JARDIM 25 DE AGOSTO;25070350;330170;21;969716949;PEDROPASSOS2@HOTMAIL.COM;NEOCLACIRA
4116960000000;2;UNIDADE COMPLEMENTAR - KM 38;104;KM 38;S/N;;ZONA RURAL;85635000;411695;;;;SECRETARIA
1506210000000;1;ODONTOPEDIATRIA - ESC. ENS. INFANTIL MARLUCIA DE SOUZA NUNES;8;JULIO CEZAR;SN;;CENTRO;68721000;150620;;;;MANOEL
2103500000000;1;SECRETARIA MUNICIPAL DE SAUDE DE COLINAS;561;SECRETARIA MUNICIPAL DE SAUDE DE COLINAS;77;RUA DO MERCADO CENTR;CENTRO;65690000;210350;99;935521221;;SEMUSCOLINAS
3106210000000;1;SEDE;81;CARIJOS;150;2º ANDAR;CENTRO;30120060;310620;31;32713706;radiocenter150@hotmail.com;SMSAS
4114300000000;2;POSTO DE SAÚDE ALFREDO RIEKE SOBRINHO;31;PRINCIPAL;SN;;TRONCO;83800000;411430;41;36262086;;MANDIRITUBA
5004310000000;1;APAE;655;JARDELINO JOSE MOREIRA;2287;PREDIO;VILA ROSA;79960000;500430;67;34711261;;SAUDE
3169410000000;1;SANTA CASA DE MISERICORDIA DO HOSPITAL SAO FRANCISCO DE ASSI;81;BARAO DA BOA ESPERANCA;484;;CENTRO;37190000;316940;;;;MICHELLI
3532510000000;1;CLINICA DOUTORA;81;MARECHAL DEODORO;56;;CENTRO;15120000;353250;;;;CNESNP
1300030000000;1;ESCOLA MUNICIPAL SANTA LUZIA DO CATUIRI;713;LAGO DE TEFE;S/N;LAGO;ZONA RURAL;69540000;130002;;;;CNES
1300030000000;2;CENTRO COMUNITARIO SÃO FRANCISCO DO BAUANA;713;RIO BAUANA;S/N;RIO;ZONA RURAL;69540000;130002;;;;CNES
1300030000000;3;ESCOLA MUNICIPAL SÃO JOÃO DO MIRITI;713;RIO BAUANA;S/N;RIO;ZONA RURAL;69540000;130002;;;;CNES
1300030000000;4;ESCOLA MUNICIPAL SAO SEBASTIAO DO CURUMITA;713;RIO CURUMITA;S/N;RIO;ZONA RURAL;69540000;130002;;;;CNES
2900510000000;1;VIGILÂNCIA SANITÁRIA DE ERICO CARDOSO;561;RUA JOAQUIM DOMINGUES ALMEIDA;SN;PREDIO;CENTRO;46180000;290050;;;;SAUDE
2105310000000;1;POSTO DE COLETA - CENTRO;81;CEARA;701;;CENTRO;65901610;210530;;;;SEMUS
2105310000000;2;POSTO DE COLETA - JUCARA;81;PERNAMBUCO;202;;JUCARA;65900500;210530;;;;SEMUS
2105310000000;3;POSTO DE COLETA - TRES PODERES;8;BERNARDO SAYAO;1172;;TRES PODERES;65903250;210530;;;;SEMUS
3106200000000;1;UNIDADE NAO COVID CENTRO DE SAUDE SANTA TEREZINHA;561;SENADOR VIRGILIO TAVORA;157;;SANTA TEREZINHA;31360220;310620;31;32777102;;CARINA
3106200000000;2;UNIDADE NAO COVID CENTRO DE SAUDE SANTA MONICA;561;DOS CANOEIROS;320;;SANTA MONICA;31530230;310620;31;32779482;;CARINA
3106200000000;3;UNIDADE NAO COVID CENTRO DE SAUDE CARLOS PRATES;561;FREDERICO BRACHER JUNIOR;103;;CARLOS PRATES;30720000;310620;31;32778385;;CARINA
1303950000000;1;SÃO JOÃO DO CUCUIA I;713;PRAIA;S/N;;ZONA RURAL;69135000;130395;;;;SCNES
5108400000000;1;MATERNIDADE DR FRANCISCO LUSTOSA DE FIGUEIREDO;561;ESPIRITO SANTO;300;;NOVA VARZEA GRANDE;78135622;510840;;;;THAYSSA
1502100000000;1;UNIDADE DE APOIO MENDARUCU MEDIO;50;MENDARUCU MEDIO;S N;;ZONA RURAL;68400000;150210;;;;CAMETA
1702550000000;1;AMBULATORIO;561;CENTRO;S/N;;CENTRO;77960000;170255;63;34561465;;CADASTRO
1300090000000;1;REPRESENTACAO MANAUS;81;WASHINGTON LUIS;267;MANAUS - AM;DOM PEDRO;69445000;130008;;;;SCNES
1300090000000;2;APOIO MANACAPURU;81;BARAO RIO BRANCO;321;MANACAPURU - AM;CENTRO;69445000;130008;;;;SCNES
3556600000000;1;FARMACIA MUNICIPAL;561;RUA PAES LEME;159;;CENTRO;17560065;355660;14;34921001;farmaciaubs@veracruz.sp.gov.br;SCNES
4201260000000;1;VIGILANCIA SANITARIA;561;FLORIANOPOLIS;107;;CENTRO;89135000;420125;;;;SAUDE
3103510000000;1;EXPRESSO SAÚDE UNIDADE I;655;MINAS GERAIS;1889;MOVEL;CENTRO;38444128;310350;;;;310350
3103510000000;2;EXPRESSO SAÚDE UNIDADE II;658;MINAS GERAIS;1889;MOVEL;CENTRO;38444128;310350;;;;310350
3513900000000;1;CENTRO DE ATENDIEMNTO A COVID;561;SETE DE SETEMBRO 320;SN;;CENTRO;13780000;351390;19;36638100;;DEZORZI
5106290000000;2;CENTRO DE ESPECIALIDADES MEDICAS;8;VEREADOR JOAO LOPO DE SOUZA;1526;;INDUSTRIAL;78590000;510629;;;;MESTRE
3518810000000;3;LABORATORIO - HOSPITAL MUNICIPAL DE URGENCIA;8;TIRADENTES;3392;;JARDIM BOM CLIMA;7196000;351880;;;cadastro.adm@afip.com.br;SSDTAC
3518810000000;4;LABORATORIO - HOSPITAL MUNICIPAL JESUS, JOSE E MARIA;8;DOUTOR RENATO DE ANDRADE MAIA;1337;;PARQUE RENATO MAIA;7114000;351880;;;cadastro.adm@afip.com.br;SSDTAC
2202600000000;1;LABORATORIO PIMENTEL;81;ANTONIO VALDIVINO;283;;PICARRA;64340000;220260;86;981171893;;CNES
1505900000000;2;POSTO DE SAUDE BOM JESUS;713;BOM JESUS;SN;3H:30MIN DA UBS;RIBEIRINHA;68330000;150590;;;;SMSPMOZ
1505900000000;3;ESCOLA MUNICIPAL CARMELINO;713;SAO BENTO;SN;3H DE DISTANCIA UBS;RIBEIRINHA;68330000;150590;;;;SMSPMOZ
1505900000000;4;ESCOLA MUNICIPAL JESUS DE NAZARE;713;MONTE SINAI;SN;05H DE DISTANCIA UBS;RIBEIRINHA;68330000;150590;;;;SMSPMOZ
1505900000000;5;IGREJA DE MONTE SINAI;713;SAO SEBASTIAO DO AQUIQUI;SN;7H DA UBS;RIBEIRINHA;68330000;150590;;;;SMSPMOZ
3510200000000;1;SANTA CASA DE CAPÃO BONITO;561;DONA AUTA DE CAMARGO LIRIO;51;;CENTRO;18300230;351020;;;;MESTRE
3525300000000;2;AMBULATORIO DE ESPECIALIDADES;561;AVENIDA DAS NACOES;855;1º ANDAR;CENTRO;17201300;352530;14;36023777;;BRUNO
3525300000000;3;AMBULATORIO DE FISIOTERAPIA;561;CAMPOS SALES;738;;CENTRO;17201020;352530;14;36255740;;BRUNO
2800400000000;1;ENDERECO COMPLEMENTAR 1;81;ANA ALVES DE MENEZES;22;CASA;CENTRO;49220000;280040;;;;FRANCIELLE
2800400000000;1;ENDERECO COMPLEMENTAR 1;81;PROFESSORA DIVA;SN;CASA;CENTRO;49220000;280040;;;;FRANCIELLE
2507510000000;1;ENDERECO COMPLEMENTAR 1;8;DOM PEDRO I;866;;CENTRO;58013021;250750;83;32212060;ofsaulo@uol.com.br;FLAVIO
3136910000000;2;ENDERECO COMPLEMENTAR 2;561;ALEDERICO PINTO DE AGUIAR;SN;;JARDIM SANTO ANTONIO;37805000;313690;35;35531873;;MESTRE
3170210000000;3;ENDERECO COMPLEMENTAR 3;8;ORTIZIO BORGES;196;;SANTA MONICA;38408263;317020;34;32563800;;VAGNER
3503210000000;1;ENDERECO COMPLEMENTAR 1;81;ARMANDO SALLES DE OLIVEIRA;449;;SAO GERALDO;14801335;350320;16;34725580;marcosmmo@hotmail.com;EVAZC
2913610000000;1;ENDERECO COMPLEMENTAR 1;561;CONSELHEIRO DANTAS;29;;CENTRO;45653360;291360;73;36341829;;THAIANE
3139310000000;1;ENDERECO COMPLEMENTAR 1;8;TIRADENTES;760;;CENTRO;39460000;313930;38;36151075;;SAUDE
4303510000000;1;ENDERECO COMPLEMENTAR 1;561;CAPITAO ADOLO CASTRO;20;;CENTRO;96780020;430350;51;36718665;;SAUDE
4303510000000;2;ENDERECO COMPLEMENTAR 2;561;CRISTOVAO GOMES DE ANDRADE;630;;CENTRO;96780092;430350;51;36714346;;SAUDE
4303510000000;3;ENDERECO COMPLEMENTAR 3;561;MARECHAL FLORIANO;986;;CENTRO;96180000;430350;51;36714840;;SAUDE
5107900000000;1;VIGILANCIA SANITARIA MUNICIPAL;8;JULIO CAMPOS;1232;CAC;SETOR COMERCIAL;78550286;510790;66;35207560;;SAUDE
4115760000000;1;ENDERECO COMPLEMENTAR 1;561;AVENIDA PONTA GROSSA;73;SALA 02;CENTRO;86828000;411575;43;96601888;farmaciafarmaclinica@yahoo.com.br;MAUADASERRA
3148010000000;3;ENDERECO COMPLEMENTAR 3;81;DR EUPHASIO RODRIGUES;5;;JARDIM CENTRO;38700050;314800;34;38229622;saude.epidemio@patosdeminas.mg.gov.br;CLODES
3527610000000;1;DEP. DE VIGILANCIA SANITARIA, CONTROLE DE VETORES E ZOONOSES;561;GUILHERME BRAYN;1088;;CENTRO;14210000;352760;16;39832042;vigilancia@luizantonio.sp.gov.br;SAUDELA
2103410000000;1;CASA DE SAUDE E MATERNIDADE DE COELHO NETO;8;ANTONIO GUIMARAES SILVA;SN;;MUTIRAO;65620000;210340;;;;COELHONETO
3509510000000;1;CENTRO CONVIVENCIA COOPERATIVA TONINHA SEDE II;81;MONTEIRO DE CAMARGO;334;;JARDIM GARCIA;13061200;350950;19;33815510;toninha@candido.org.br;CANDIDO
2202770000000;1;4ª EQUIPE DO PSF;8;AV DR JOSE GUSMAO;S/N;UNIDADE MISTA;CENTRO;64516000;220277;;;;SCNES
3536210000000;1;RODOVIA REGIS BITTENCOUT;90;RODOVIA REGIS BITTENCOUT KM 461;S/N;;CONCHAL;11930000;353620;13;38561907;pate05@sestsenat.org.br;SENHA
4101800000000;1;ENDEREÇO COMPLEMENTAR 1;561;RUA MICHEL NASSAR SALIBA;355;;JARDIM ALVORADA;83707370;410180;41;35522891;;GILVAN
4209110000000;1;LAGOINHA BUCAL;31;LAGOINHA;1;S/N;MORRO DO MEIO;89215200;420910;47;34651912;;420910
1302110000000;1;ESCOLA MUNICIPAL SANTO ANTONIO;713;MACUPIRI;SN;;ZONA RURAL;69495000;130210;;;;CNES
